"DisplayName","PrimarySmtpAddress","Identity","GroupType","ExternalSenders","Action"
"DG Binary System Ext Developers","extdevelopers@mbubinarysystems.onmicrosoft.com","DG Binary System Ext Developers","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Ext Developers","extdevelopers@binarysystem.eu","extdevelopers","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System French Department","french.department@mbubinarysystems.onmicrosoft.com","bdf9ee92-69e4-449c-ade3-b729a1784d5d","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System French Department","french.department@binarysystem.eu","french.department","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System Info","info@mbubinarysystems.onmicrosoft.com","DG Binary System Info","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Info","info@binarysystem.eu","info","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System IT Workday Notifications","binarysystem.itworkdaynotifications@mbubinarysystems.onmicrosoft.com","DG Binary System IT Workday Notifications","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System IT Workday Notifications","binarysystem.itworkdaynotifications@binarysystem.eu","binarysystem.itworkdaynotifications","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System Logishift","logishift@mbubinarysystems.onmicrosoft.com","DG Binary System Logishift","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Logishift","logishift@binarysystem.eu","logishift","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System Logishift Eng","logishifteng@mbubinarysystems.onmicrosoft.com","DG Binary System Logishift Eng","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Logishift Eng","logishifteng@binarysystem.eu","logishifteng","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System Logishift Team","logishift.team@mbubinarysystems.onmicrosoft.com","4606f180-9aab-4ed9-a6c2-bdffd0649917","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Logishift Team","logishift.team@binarysystem.eu","logishift.team","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System Maintrack","maintrack@mbubinarysystems.onmicrosoft.com","DG Binary System Maintrack","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Maintrack","maintrack@binarysystem.eu","maintrack","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System Maintrack Eng","maintrackeng@mbubinarysystems.onmicrosoft.com","DG Binary System Maintrack Eng","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Maintrack Eng","maintrackeng@binarysystem.eu","maintrackeng","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System Maintrack-Developers","maintrack-developers@mbubinarysystems.onmicrosoft.com","DG Binary System Maintrack-Developers","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Maintrack-Developers","maintrack-developers@binarysystem.eu","maintrack-developers","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System Marketing","marketing@mbubinarysystems.onmicrosoft.com","DG Binary System Marketing","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Marketing","marketing@binarysystem.eu","marketing","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System ODV","odv@mbubinarysystems.onmicrosoft.com","4f728267-5fab-4258-9907-dc6faee316c3","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System ODV","odv@binarysystem.eu","odv","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System Ordini","ordini@mbubinarysystems.onmicrosoft.com","DG Binary System Ordini","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Ordini","ordini@binarysystem.eu","ordini","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System Owners","owners@mbubinarysystems.onmicrosoft.com","DG Binary System Owners","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Owners","owners@binarysystem.eu","owners","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System Planning Leanbit","planning.leanbit@mbubinarysystems.onmicrosoft.com","1565bc04-8e07-4deb-b7ee-a63300fa5c1e","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Planning Leanbit","planning.leanbit@binarysystem.eu","planning.leanbit","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System Planning Tualba","planning.tualba@mbubinarysystems.onmicrosoft.com","bdc67e75-7928-4f11-81c9-a5ced5f54a0d","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Planning Tualba","planning.tualba@binarysystem.eu","planning.tualba","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System Rail Mobile","railmobile@mbubinarysystems.onmicrosoft.com","DG Binary System Rail Mobile","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Rail Mobile","railmobile@binarysystem.eu","railmobile","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System Riservata","riservata@mbubinarysystems.onmicrosoft.com","DG Binary System Riservata","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Riservata","riservata@binarysystem.eu","riservata","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System Risorse","risorse@mbubinarysystems.onmicrosoft.com","DG Binary System Risorse","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Risorse","risorse@binarysystem.eu","risorse","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System Sales","sales@mbubinarysystems.onmicrosoft.com","3935e6ba-666f-48d8-812c-354556d96f5a","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Sales","sales@binarysystem.eu","sales","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System Skill Plan Eng","skillplaneng@mbubinarysystems.onmicrosoft.com","DG Binary System Skill Plan Eng","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Skill Plan Eng","skillplaneng@binarysystem.eu","skillplaneng","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System SNCF-AWS","sncf-aws@mbubinarysystems.onmicrosoft.com","DG Binary System SNCF-AWS","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System SNCF-AWS","sncf-aws@binarysystem.eu","sncf-aws","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System Soft Rail ITA","softrailita@mbubinarysystems.onmicrosoft.com","DG Binary System Soft Rail ITA","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Soft Rail ITA","softrailita@binarysystem.eu","softrailita","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System Stage","stage@mbubinarysystems.onmicrosoft.com","DG Binary System Stage","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Stage","stage@binarysystem.eu","stage","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System Support","support@mbubinarysystems.onmicrosoft.com","DG Binary System Support","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Support","support@binarysystem.eu","support","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Sysadm","sysadm@mbubinarysystems.onmicrosoft.com","DG Binary System Sysadm","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Sysadm","sysadm@binarysystem.eu","sysadm","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System Team","team@mbubinarysystems.onmicrosoft.com","DG Binary System Team","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Team","team@binarysystem.eu","team","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System Verform","verform@mbubinarysystems.onmicrosoft.com","DG Binary System Verform","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System Verform","verform@binarysystem.eu","verform","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System Web","web@mbubinarysystems.onmicrosoft.com","DG Binary System Web","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Web","web@binarysystem.eu","web","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
"DG Binary System Webmaster","webmaster@mbubinarysystems.onmicrosoft.com","DG Binary System Webmaster","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Webmaster","webmaster@binarysystem.eu","webmaster","MailUniversalDistributionGroup","Blocked","Would fix (dry run)"
