"DisplayName","PrimarySmtpAddress","Identity","GroupType","ExternalSenders","Action"
"DG Binary System Soft Rail ITA","softrailita@mbubinarysystems.onmicrosoft.com","DG Binary System Soft Rail ITA","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Soft Rail ITA","softrailita@binarysystem.eu","softrailita","MailUniversalDistributionGroup","Blocked","FAILED: ||The operation couldn't be performed because object: 'softrailita' matches multiple entries."
"DG Binary System Stage","stage@mbubinarysystems.onmicrosoft.com","DG Binary System Stage","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Stage","stage@binarysystem.eu","stage","MailUniversalDistributionGroup","Allowed (was Blocked)","Fixed"
"DG Binary System Support","support@mbubinarysystems.onmicrosoft.com","DG Binary System Support","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Support","support@binarysystem.eu","support","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Sysadm","sysadm@mbubinarysystems.onmicrosoft.com","DG Binary System Sysadm","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Sysadm","sysadm@binarysystem.eu","sysadm","MailUniversalDistributionGroup","Blocked","FAILED: ||The operation couldn't be performed because object: 'sysadm' matches multiple entries."
"DG Binary System Team","team@mbubinarysystems.onmicrosoft.com","DG Binary System Team","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Team","team@binarysystem.eu","team","MailUniversalDistributionGroup","Allowed (was Blocked)","Fixed"
"DG Binary System Verform","verform@mbubinarysystems.onmicrosoft.com","DG Binary System Verform","MailUniversalDistributionGroup","Blocked","FAILED: ||The operation couldn't be performed because object: 'DG Binary System Verform' matches multiple entries."
"DG Binary System Verform","verform@binarysystem.eu","verform","MailUniversalDistributionGroup","Blocked","FAILED: ||The operation couldn't be performed because object: 'verform' matches multiple entries."
"DG Binary System Web","web@mbubinarysystems.onmicrosoft.com","DG Binary System Web","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Web","web@binarysystem.eu","web","MailUniversalDistributionGroup","Allowed (was Blocked)","Fixed"
"DG Binary System Webmaster","webmaster@mbubinarysystems.onmicrosoft.com","DG Binary System Webmaster","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Webmaster","webmaster@binarysystem.eu","webmaster","MailUniversalDistributionGroup","Allowed (was Blocked)","Fixed"
